P_NAME,P_MASS,P_RADIUS,P_GRAVITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE_TEMP,P_HABITABLE,P_ESI
Kepler-140 c,,1.80481,,0.414,11.863814,472.82561,Hot,0,0.36930326
Kepler-1400 b,,1.62545,,0.079954201,55.194473,694.41454,Hot,0,0.29756252
Kepler-1401 b,,1.6815,,0.10018438,136.65469,871.06596,Hot,0,0.2803666
Kepler-1402 b,,0.76228,,0.030325442,634.49395,1278.6503,Hot,0,0.28869423
Kepler-1403 b,,2.14111,,0.060767295,432.74795,1161.9934,Hot,0,0.25074257
Kepler-1404 b,,2.00659,,0.11688891,32.151056,606.65771,Hot,0,0.29463936
Kepler-1405 b,,3.95713,,0.18436852,37.190847,629.1496,Hot,0,0.20820895
Kepler-1406 b,,1.09858,,0.10207883,129.9883,860.24266,Hot,0,0.30289792
Kepler-1407 b,,2.25321,,0.14917246,69.471222,735.52281,Hot,0,0.26093265
Kepler-1408 b,,0.88559,,0.043349675,1259.2882,1517.666,Hot,0,0.29271287
Kepler-1409 b,,1.04253,,0.015378904,1676.0649,1630.1127,Hot,0,0.29358304
Kepler-141 b,,0.69502,,0.039,213.66805,974.04676,Hot,0,0.28802138
Kepler-141 c,,1.41246,,0.067,72.39677,743.14696,Hot,0,0.30161789
Kepler-1410 b,,1.78239,,0.25954165,1.3425162,274.2362,Warm,2,0.77589148
Kepler-1411 b,,2.82492,,0.37509126,5.5473221,390.99009,Hot,0,0.40417655
Kepler-1412 b,,0.82954,,0.046987832,782.41032,1347.4217,Hot,0,0.29162812
Kepler-1413 b,,1.81602,,0.10302549,39.378193,638.20302,Hot,0,0.29737594
Kepler-1414 b,,1.2331,,0.041997098,171.68973,922.21246,Hot,0,0.2971959
Kepler-1415 b,,1.28915,,0.01392528,2508.9535,1803.0927,Hot,0,0.28783359
Kepler-1416 b,,0.88559,,0.02632943,2243.359,1753.354,Hot,0,0.29222176
Kepler-1417 b,,0.99769,,0.14681147,50.271625,678.38407,Hot,0,0.32047551
Kepler-1418 b,,1.65908,,0.14283178,11.786299,472.05138,Hot,0,0.37828214
Kepler-1419 b,,2.85855,,0.23916063,18.032898,525.0024,Hot,0,0.28136026
Kepler-142 b,,1.99538,,0.032,1586.0263,1607.7648,Hot,0,0.25571921
Kepler-142 c,,2.85855,,0.057,499.8741,1204.6477,Hot,0,0.21768408
Kepler-142 d,,2.16353,,0.242,27.731899,584.64173,Hot,0,0.29257497
Kepler-1420 b,,1.27794,,0.065084877,95.553729,796.53859,Hot,0,0.30218603
Kepler-1421 b,,0.93043,,0.076488344,497.34906,1203.1236,Hot,0,0.29527014
Kepler-1422 b,,2.0178,,0.14393453,96.30608,798.10188,Hot,0,0.26751687
Kepler-1423 b,,1.06495,,0.15030979,13.273722,486.28748,Hot,0,0.39156471
Kepler-1424 b,,1.15463,,0.18850686,33.531907,613.06916,Hot,0,0.33191695
Kepler-1425 b,,0.94164,,0.1149286,65.44195,724.61775,Hot,0,0.31384894
Kepler-1426 b,,1.55819,,0.11580162,80.358513,762.7863,Hot,0,0.29322946
Kepler-1427 b,,1.09858,,0.019223137,2785.4604,1850.8412,Hot,0,0.29262048
Kepler-1428 b,,1.63666,,0.10300395,228.42132,990.44205,Hot,0,0.27856188
Kepler-1429 b,,1.28915,,0.054084507,425.50755,1157.1022,Hot,0,0.29056413
Kepler-143 b,,2.41015,,0.127,120.1679,843.51348,Hot,0,0.24559445
Kepler-143 c,,3.37421,,0.181,59.161444,706.56904,Hot,0,0.21602883
Kepler-1430 b,,1.17705,,0.032685606,230.01559,992.16574,Hot,0,0.29666014
Kepler-1431 b,,1.46851,,0.06427135,261.47874,1024.4812,Hot,0,0.28556291
Kepler-1432 b,,2.21958,,0.16712793,54.188208,691.22766,Hot,0,0.2677691
Kepler-1433 b,,1.55819,,0.052665488,632.11359,1277.4494,Hot,0,0.2784385
Kepler-1434 b,,1.10979,,0.089385256,730.96392,1324.7041,Hot,0,0.29386592
Kepler-1435 b,,0.86317,,0.056437523,799.90087,1354.8897,Hot,0,0.29274999
Kepler-1436 b,,1.31157,,0.090774368,164.32149,912.1547,Hot,0,0.29497567
Kepler-1437 b,,1.36762,,0.094060069,78.221234,757.66299,Hot,0,0.30205497
Kepler-1438 b,,0.94164,,0.033938012,670.43833,1296.3869,Hot,0,0.29467918
Kepler-1439 b,,1.4573,,0.060788127,7.3476655,419.45198,Hot,0,0.44643919
Kepler-144 b,,1.33399,,0.066,430.75396,1160.6525,Hot,0,0.28893249
Kepler-144 c,,1.3452,,0.094,212.35449,972.54626,Hot,0,0.29183129
Kepler-1440 b,,1.25552,,0.22678068,16.924225,516.74004,Hot,0,0.36670606
Kepler-1441 b,,1.31157,,0.22671595,19.753106,537.09828,Hot,0,0.35396876
Kepler-1442 b,,3.93471,,0.40521489,18.911822,531.28585,Hot,0,0.23747778
Kepler-1443 b,,0.97527,,0.037354502,1620.0804,1616.3263,Hot,0,0.29371014
Kepler-1444 b,,2.17474,,0.20501988,26.778104,579.5486,Hot,0,0.2935633
Kepler-1445 b,,0.96406,,0.098345364,210.3887,970.28767,Hot,0,0.29946383
Kepler-1446 b,,0.81833,,0.014241545,1391.9651,1556.1519,Hot,0,0.29038301
Kepler-1447 b,,2.90339,,0.28577646,10.613885,459.84715,Hot,0,0.32065542
Kepler-1448 b,,1.61424,,0.10232836,82.256388,767.25074,Hot,0,0.2901625
Kepler-1449 b,,1.6815,,0.1122798,109.89678,824.88072,Hot,0,0.28276669
Kepler-145 b,37.185876,2.64556,5.3130363,0.17157235,156.9233,901.70975,Hot,0,0.23234701
Kepler-145 c,79.457001,4.31585,4.2657901,0.26027328,68.190341,732.1088,Hot,0,0.18387844
Kepler-1450 b,,1.71513,,0.25094394,2.755773,328.25078,Hot,0,0.62058183
Kepler-1451 b,,3.35179,,0.2118314,21.872112,550.95685,Hot,0,0.25006219
Kepler-1452 b,,2.70161,,0.26893475,72.83386,744.26611,Hot,0,0.23911988
Kepler-1453 b,,2.66798,,0.25282685,12.755504,481.47009,Hot,0,0.31547954
Kepler-1454 b,,1.88328,,0.246142,9.6352393,448.85962,Hot,0,0.38636176
Kepler-1455 b,,2.16353,,0.22425127,1.7686087,293.80072,Hot,0,0.67416001
Kepler-1456 b,,1.14342,,0.11639991,8.1458959,430.4073,Hot,0,0.44549919
Kepler-1457 b,,1.99538,,0.27037078,14.804036,499.7352,Hot,0,0.33918928
Kepler-1458 b,,2.75766,,0.25488878,12.443967,478.50296,Hot,0,0.31319812
Kepler-1459 b,,1.35641,,0.28477349,3.287169,343.04447,Hot,0,0.6078965
Kepler-146 b,,3.71051,,0.2,41.047171,644.86042,Hot,0,0.21315932
Kepler-146 c,,3.12759,,0.364,12.391973,478.00234,Hot,0,0.29668229
Kepler-1460 b,,1.96175,,0.16759803,5.4748897,389.70749,Hot,0,0.46005346
Kepler-1461 b,,2.02901,,0.17210184,9.6981377,449.59037,Hot,0,0.37691841
Kepler-1462 b,,3.82261,,0.31841554,9.7002579,449.61494,Hot,0,0.29159556
Kepler-1463 b,,1.86086,,0.16572629,30.622489,599.31484,Hot,0,0.30427939
Kepler-1464 b,,1.65908,,0.19760566,27.002925,580.76123,Hot,0,0.32040697
Kepler-1464 c,,0.99769,,0.060082082,292.09197,1053.2339,Hot,0,0.29771791
Kepler-1465 b,,1.77118,,0.1785392,7.0682683,415.40638,Hot,0,0.4329372
Kepler-1466 b,,1.54698,,0.19445603,29.548593,593.98997,Hot,0,0.32196329
Kepler-1467 b,,3.29574,,0.24252581,8.2786781,432.15064,Hot,0,0.32881732
Kepler-1468 b,,1.72634,,0.080872368,182.14308,935.94016,Hot,0,0.275688
Kepler-1468 c,,1.15463,,0.046093688,560.6994,1239.7309,Hot,0,0.29358588
Kepler-1469 b,,2.8025,,0.1487941,29.482043,593.65524,Hot,0,0.25912726
